City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Luena,AO,-11.7833,19.9167,64.22,86,100,0.89,light rain
163,Valdivia,CL,-39.8142,-73.2459,49.68,96,10,2.98,clear sky
164,Faanui,PF,-16.4833,-151.75,80.58,77,42,12.91,light rain
165,Kushima,JP,31.4583,131.2333,72.12,48,83,5.32,broken clouds
166,Pevek,RU,69.7008,170.3133,14.32,84,100,4.7,overcast clouds
167,Aginskoye,RU,51.1,114.53,38.66,45,7,9.48,clear sky
168,Mar Del Plata,AR,-38.0023,-57.5575,53.01,56,0,8.01,clear sky
169,Limon,CR,10.0,-83.0333,78.85,85,100,3.78,overcast clouds
170,Norman Wells,CA,65.282,-126.8329,23.04,86,75,6.91,broken clouds
171,Gimli,CA,50.6336,-96.9907,54.99,67,83,7.58,broken clouds
172,Kermanshah,IR,34.3142,47.065,43.7,61,0,0.0,clear sky
173,Constitucion,CL,-35.3333,-72.4167,56.88,67,0,6.67,clear sky
174,Mogadishu,SO,2.0371,45.3438,78.49,85,77,13.13,broken clouds
175,Chara,RU,56.9064,118.2631,29.91,55,48,5.19,scattered clouds
176,Yulara,AU,-25.2406,130.9889,98.11,14,32,5.03,scattered clouds
177,West Fargo,US,46.875,-96.9004,62.6,50,1,3.0,clear sky
178,Marzuq,YE,14.4,46.4667,71.62,60,13,1.7,few clouds
179,Neuquen,AR,-38.9516,-68.0591,62.49,55,0,0.0,clear sky
180,Chisec,GT,15.8167,-90.2833,70.75,98,100,2.48,overcast clouds
181,Cabra,ES,37.4725,-4.4421,69.39,64,77,4.32,broken clouds
182,Bengkulu,ID,-3.8004,102.2655,77.14,86,100,3.51,overcast clouds
183,Yeppoon,AU,-23.1333,150.7333,85.78,68,9,10.18,clear sky
184,Iqaluit,CA,63.7506,-68.5145,35.33,87,90,18.01,overcast clouds
185,Waipawa,NZ,-41.4122,175.5153,59.63,53,5,15.99,clear sky
186,Khon Buri,TH,14.5254,102.2459,81.63,92,99,5.35,light rain
187,Kaeo,NZ,-35.1,173.7833,67.08,56,5,6.11,clear sky
188,Lakes Entrance,AU,-37.8811,147.981,54.57,81,77,5.48,broken clouds
189,Xining,CN,36.6167,101.7667,36.03,100,100,1.28,overcast clouds
190,Fortuna,US,40.5982,-124.1573,50.41,71,1,0.0,clear sky
191,Leningradskiy,RU,69.3833,178.4167,10.92,87,100,3.69,overcast clouds
192,Rocha,UY,-34.4833,-54.3333,44.92,86,0,2.01,clear sky
193,Hualmay,PE,-11.0964,-77.6139,63.01,84,88,7.76,overcast clouds
194,Sangar,RU,63.9242,127.4739,15.21,76,96,5.77,overcast clouds
195,Victor Harbor,AU,-35.5667,138.6167,75.79,66,1,1.01,clear sky
196,Pizhanka,RU,57.4604,48.542,38.23,62,99,10.0,overcast clouds
197,Mulchen,CL,-37.7167,-72.2333,52.5,82,0,5.26,clear sky
198,Carnarvon,AU,-24.8667,113.6333,64.47,88,75,20.71,broken clouds
199,Cayenne,GF,4.9333,-52.3333,78.1,89,40,2.3,scattered clouds
200,Kokkola,FI,63.8385,23.1307,37.92,72,25,10.78,scattered clouds
201,Wawa,NG,9.9022,4.4192,73.71,93,100,3.76,overcast clouds
202,Nortelandia,BR,-14.4547,-56.8028,71.47,99,96,1.63,overcast clouds
203,Yenagoa,NG,4.9247,6.2642,74.8,95,100,3.62,overcast clouds
204,Udimskiy,RU,61.1417,45.9144,30.54,97,97,5.95,light snow
205,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.79,100,90,12.66,mist
206,Namibe,AO,-15.1961,12.1522,62.38,89,42,4.09,scattered clouds
207,Pandan,PH,14.0453,124.1694,86.02,69,38,9.28,scattered clouds
208,Praya,CV,14.9215,-23.5087,79.34,69,0,6.91,clear sky
209,Campbell River,CA,50.0163,-125.2446,45.93,94,75,2.3,broken clouds
210,Rawson,AR,-43.3002,-65.1023,67.01,40,10,15.41,clear sky
211,Georgiyevka,KZ,43.0369,74.7114,41.04,87,21,4.47,mist
212,Mocuba,MZ,-16.8392,36.9856,71.01,86,0,3.2,clear sky
213,Aviles,ES,43.5547,-5.9248,66.72,90,0,1.01,clear sky
214,Caldwell,US,43.6629,-116.6874,59.92,44,1,5.75,clear sky
215,Viedma,AR,-40.8135,-62.9967,59.81,25,1,11.03,clear sky
216,Georgetown,MY,5.4112,100.3354,82.89,86,50,1.01,scattered clouds
217,Torbay,CA,47.6666,-52.7314,46.27,96,90,18.41,light rain
218,Camacha,PT,33.0833,-16.3333,72.54,94,40,2.3,scattered clouds
219,Aripuana,BR,-9.1667,-60.6333,70.95,96,65,2.01,broken clouds
220,Ranong,TH,9.9658,98.6348,84.18,71,87,3.85,overcast clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,81.61,72,100,1.99,overcast clouds
222,Balabac,PH,7.9868,117.0645,85.71,69,68,7.27,broken clouds
223,Chadiza,ZM,-14.0678,32.4392,67.14,83,79,10.8,light rain
224,Bubaque,GW,11.2833,-15.8333,82.67,74,40,9.48,scattered clouds
225,Puerto Escondido,MX,15.85,-97.0667,79.75,82,63,3.89,broken clouds
226,Pau,FR,43.4167,-0.5833,65.05,87,0,4.61,clear sky
227,Seymchan,RU,62.8833,152.4333,11.41,54,33,12.03,scattered clouds
228,Itanhem,BR,-17.1664,-40.33,70.63,94,34,3.87,scattered clouds
229,Kavieng,PG,-2.5744,150.7967,86.29,62,61,13.04,broken clouds
230,Flinders,AU,-34.5833,150.8552,66.2,82,90,16.37,moderate rain
231,Manokwari,ID,-0.8667,134.0833,83.01,76,69,5.57,moderate rain
232,Nizhnevartovsk,RU,60.9344,76.5531,41.02,87,90,6.71,overcast clouds
233,Ingham,US,42.6,-84.3833,51.22,83,1,0.0,clear sky
234,Okato,NZ,-39.2,173.8833,62.42,64,50,9.82,scattered clouds
235,Kitimat,CA,54.0524,-128.6534,40.91,30,100,3.67,overcast clouds
236,Biloela,AU,-24.4167,150.5,90.25,19,0,11.1,clear sky
237,Novikovo,RU,51.1537,37.8879,39.29,85,100,7.63,overcast clouds
238,Kamphaeng Phet,TH,16.25,99.5,74.75,93,100,0.83,overcast clouds
239,Marsh Harbour,BS,26.5412,-77.0636,77.4,58,75,14.88,broken clouds
240,Greenwood,US,34.1668,-82.1165,56.64,93,1,0.0,clear sky
241,Drayton Valley,CA,53.2168,-114.9854,35.67,69,100,6.93,overcast clouds
242,Faya,SA,18.3851,42.4509,57.34,27,37,6.89,scattered clouds
243,Kirakira,SB,-10.4544,161.9205,84.38,73,25,6.31,scattered clouds
244,Cockburn Town,TC,21.4612,-71.1419,81.9,74,63,8.81,broken clouds
245,Muros,ES,42.7762,-9.0603,65.84,91,22,8.5,few clouds
246,Grants Pass,US,42.439,-123.3284,52.48,67,1,1.01,clear sky
247,Kenora,CA,49.8167,-94.4337,60.78,51,93,8.99,overcast clouds
248,Blagoyevo,RU,63.3667,47.9167,33.66,92,97,4.85,overcast clouds
249,Fairbanks,US,64.8378,-147.7164,31.3,66,19,3.18,few clouds
250,East Wenatchee Bench,US,47.4257,-120.2812,57.34,55,0,6.55,clear sky
251,Brainerd,US,46.358,-94.2008,61.05,51,25,9.22,scattered clouds
252,Shakiso,ET,5.75,38.9167,55.54,90,100,3.78,overcast clouds
253,Arvika,SE,59.6553,12.5852,36.21,81,100,2.26,light rain
254,Verkhnyaya Inta,RU,65.9811,60.3094,32.47,83,98,6.49,overcast clouds
255,Praia,CV,14.9215,-23.5087,79.34,69,0,6.91,clear sky
256,Bereda,ES,43.2686,-7.5406,60.55,90,91,2.21,overcast clouds
257,Aasiaat,GL,68.7098,-52.8699,16.23,78,52,11.92,broken clouds
258,Vardo,NO,70.3705,31.1107,28.6,62,99,25.95,overcast clouds
259,Beringovskiy,RU,63.05,179.3167,33.26,94,100,3.6,overcast clouds
260,Goksun,TR,38.021,36.4973,47.35,74,44,6.15,scattered clouds
261,Yerofey Pavlovich,RU,53.9667,121.9667,34.0,42,86,2.95,overcast clouds
262,Hals,DK,56.9961,10.3081,50.61,96,100,11.81,overcast clouds
263,Tilichiki,RU,60.4667,166.1,19.09,78,47,14.05,scattered clouds
264,Kieta,PG,-6.2167,155.6333,84.83,70,31,4.16,light rain
265,Chernyshevskiy,RU,63.0128,112.4714,34.43,81,95,8.99,overcast clouds
266,Bilma,NE,18.6853,12.9164,81.05,16,29,7.29,scattered clouds
267,Sumter,US,28.7086,-82.0831,70.95,77,100,7.11,overcast clouds
268,Sobolevo,RU,54.4299,31.8996,33.01,94,15,9.69,few clouds
269,Luancheng,CN,37.8792,114.6517,48.92,54,100,6.06,overcast clouds
270,Gweta,BW,-20.1833,25.2333,61.36,72,100,16.49,overcast clouds
271,Komsomolskiy,UZ,40.4272,71.7189,52.52,54,73,6.91,broken clouds
272,Encruzilhada Do Sul,BR,-30.5439,-52.5219,49.6,97,1,4.27,clear sky
273,Wajima,JP,37.4,136.9,62.78,61,30,8.12,scattered clouds
274,Buritis,BR,-15.6178,-46.4233,72.46,87,100,3.78,overcast clouds
275,Virginia Beach,US,36.8529,-75.978,62.02,68,0,12.15,clear sky
276,Ejido,VE,8.5514,-71.2375,65.21,86,49,5.44,scattered clouds
277,Makat,KZ,47.6469,53.3463,53.24,89,56,6.67,broken clouds
278,Loandjili,CG,-4.7561,11.8578,75.94,84,100,6.2,overcast clouds
279,Portland,US,45.5234,-122.6762,53.46,84,1,1.99,clear sky
280,Avera,US,33.194,-82.5271,50.76,51,18,2.51,few clouds
281,Sovetskiy,RU,61.3614,63.5842,40.53,98,100,10.09,light rain
282,Yerbogachen,RU,61.2767,108.0108,33.57,84,100,8.41,overcast clouds
283,Nelson Bay,AU,-32.7167,152.15,82.76,69,48,9.95,scattered clouds
284,Mollendo,PE,-17.0231,-72.0147,61.59,83,92,6.02,overcast clouds
285,Vanimo,PG,-2.6741,141.3028,87.31,64,91,9.44,overcast clouds
286,Huainan,CN,32.6264,116.9969,59.81,63,100,6.69,light rain
287,Tacoronte,ES,28.4769,-16.4102,76.15,37,0,5.75,clear sky
288,Hirara,JP,24.8,125.2833,78.31,70,41,16.08,scattered clouds
289,Verkhovazhye,RU,60.7472,42.0465,34.11,93,100,6.44,overcast clouds
290,Cherskiy,RU,68.75,161.3,0.21,96,28,8.68,scattered clouds
291,Chumikan,RU,54.7183,135.315,29.08,56,72,25.59,broken clouds
292,Yicheng,CN,31.3705,119.8703,61.11,61,100,9.4,overcast clouds
293,Tacuati,PY,-23.45,-56.5833,65.03,71,69,3.74,broken clouds
294,Chicaman,GT,15.4,-90.7667,58.62,98,91,1.88,overcast clouds
295,Rosetta,EG,31.4044,30.4164,71.42,63,14,9.93,few clouds
296,Riverton,US,40.5219,-111.9391,46.83,82,90,1.01,overcast clouds
297,Hervey Bay,AU,-25.2986,152.8535,80.04,73,4,15.7,clear sky
